model_key,model,condition,patient_id,repetition,run,prompt_tokens,completion_tokens,total_tokens,estimated_cost
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,32,1,6894,136,7030,0.0028120000000000003
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,1,1,280,92,372,0.0001488
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,2,1,418,85,503,0.0002012
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,5,1,832,85,917,0.0003668
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,10,1,1522,85,1607,0.0006428
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,16,1,2350,85,2435,0.0009740000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,32,1,4558,85,4643,0.0018572
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_05,1,1,325,133,458,0.00018320000000000003
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_05,2,1,508,122,630,0.000252
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_05,5,1,1057,122,1179,0.0004716000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_05,10,1,1972,122,2094,0.0008376
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_05,16,1,3070,121,3191,0.0012764
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_05,32,1,5998,121,6119,0.0024476000000000003
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_06,1,1,283,91,374,0.0001496
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_06,2,1,424,91,515,0.00020600000000000005
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_06,5,1,847,91,938,0.00037519999999999996
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_06,10,1,1552,91,1643,0.0006572
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_06,16,1,2398,91,2489,0.0009956000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_06,32,1,4654,91,4745,0.0018980000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_07,1,1,299,113,412,0.00016480000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_07,2,1,456,112,568,0.00022720000000000005
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_07,5,1,927,112,1039,0.0004156
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_07,10,1,1712,112,1824,0.0007296
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_07,16,1,2654,112,2766,0.0011064
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_07,32,1,5166,112,5278,0.0021112
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_08,1,1,333,139,472,0.0001888
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_08,2,1,524,130,654,0.0002616
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_08,5,1,1097,130,1227,0.0004908
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_08,10,1,2052,130,2182,0.0008728
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_08,16,1,3198,130,3328,0.0013312000000000003
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_08,32,1,6254,130,6384,0.0025535999999999996
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_09,1,1,270,100,370,0.00014800000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_09,2,1,398,89,487,0.00019480000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_09,5,1,782,89,871,0.0003484
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_09,10,1,1422,89,1511,0.0006044000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_09,16,1,2190,89,2279,0.0009116
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_09,32,1,4238,89,4327,0.0017308000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_10,1,1,322,121,443,0.0001772
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_10,2,1,502,113,615,0.000246
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_10,5,1,1042,116,1158,0.0004632
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_10,10,1,1942,116,2058,0.0008232000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_10,16,1,3022,116,3138,0.0012552000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_10,32,1,5902,116,6018,0.0024072
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_01,1,1,396,230,626,0.0002504
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_01,2,1,522,133,655,0.000262
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_01,5,1,900,138,1038,0.0004152
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_01,10,1,1526,139,1665,0.000666
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_01,16,1,2307,138,2445,0.000978
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_01,32,1,4305,138,4443,0.0017772000000000003
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_02,1,1,340,177,517,0.0002068
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_02,2,1,439,162,601,0.00024040000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_02,5,1,731,112,843,0.0003372
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_02,10,1,1190,154,1344,0.0005376000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_02,16,1,1748,112,1860,0.0007440000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_02,32,1,3280,112,3392,0.0013568000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_03,1,1,353,149,502,0.0002008
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_03,2,1,461,149,610,0.00024400000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_03,5,1,768,149,917,0.0003668
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_03,10,1,1281,149,1430,0.000572
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_03,16,1,1863,149,2012,0.0008048
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_03,32,1,3489,136,3625,0.0014500000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_04,1,1,280,92,372,0.0001488
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_04,2,1,361,92,453,0.0001812
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_04,5,1,567,85,652,0.00026080000000000005
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_04,10,1,884,85,969,0.00038760000000000004
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_04,16,1,1328,85,1413,0.0005652000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_04,32,1,2397,85,2482,0.0009928
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_05,1,1,325,133,458,0.00018320000000000003
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_05,2,1,422,228,650,0.00026000000000000003
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_05,5,1,672,122,794,0.0003176
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_05,10,1,1127,121,1248,0.0004992000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_05,16,1,1665,122,1787,0.0007148
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_05,32,1,3043,121,3164,0.0012656
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_06,1,1,283,91,374,0.0001496
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_06,2,1,357,91,448,0.00017920000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_06,5,1,549,91,640,0.000256
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_06,10,1,881,91,972,0.00038879999999999996
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_06,16,1,1302,91,1393,0.0005572
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_06,32,1,2379,91,2470,0.0009880000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_07,1,1,299,113,412,0.00016480000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_07,2,1,382,113,495,0.00019800000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_07,5,1,636,121,757,0.0003028
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_07,10,1,979,112,1091,0.0004364
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_07,16,1,1455,112,1567,0.0006268
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_07,32,1,2629,112,2741,0.0010964
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_08,1,1,333,139,472,0.0001888
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_08,2,1,428,130,558,0.0002232
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_08,5,1,724,130,854,0.0003416
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_08,10,1,1185,130,1315,0.0005260000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_08,16,1,1792,131,1923,0.0007692
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_08,32,1,3279,130,3409,0.0013636000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_09,1,1,270,100,370,0.00014800000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_09,2,1,339,89,428,0.0001712
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_09,5,1,537,100,637,0.0002548
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_09,10,1,859,94,953,0.0003812
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_09,16,1,1267,94,1361,0.0005444
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_09,32,1,2269,94,2363,0.0009452000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_10,1,1,322,121,443,0.0001772
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_10,2,1,421,113,534,0.00021360000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_10,5,1,679,113,792,0.00031680000000000006
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_10,10,1,1144,113,1257,0.0005028000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_10,16,1,1645,113,1758,0.0007032000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,filler_control,patient_10,32,1,3007,116,3123,0.0012492000000000002
